customer_id,segment,R,F,M,RFM_Score,recency_days,frequency,monetary,avg_order_value,ticket_count,unresolved_tickets,return_rate,session_count,discount_usage_rate,churn_label
CUST00001,High Value Unhappy,2.0,2.0,4.0,8.0,107,6,2955.57,492.595,2.0,0,0.16666666666666666,1,1.0,1
CUST00002,New Customers,4.0,1.0,1.0,6.0,40,1,581.0,581.0,1.0,0,0.0,1,1.0,0
CUST00003,Dormant,1.0,1.0,1.0,3.0,171,1,649.98,649.98,0.0,0,0.0,1,1.0,1
CUST00004,At-Risk High Value,2.0,1.0,3.0,6.0,131,1,1604.04,1604.04,0.0,0,0.0,1,1.0,1
CUST00005,Dormant,4.0,1.0,3.0,8.0,38,4,2550.91,637.7275,1.0,0,0.0,1,1.0,0
CUST00006,High Value Unhappy,3.0,2.0,4.0,9.0,51,5,3770.16,754.0319999999999,2.0,0,0.2,1,1.0,0
CUST00007,New Customers,5.0,1.0,1.0,7.0,3,1,719.33,719.33,0.0,0,0.0,1,1.0,0
CUST00008,Dormant,3.0,1.0,4.0,8.0,47,4,2747.33,686.8325,1.0,0,0.0,1,1.0,0
CUST00009,New Customers,4.0,1.0,1.0,6.0,31,1,376.85,376.85,0.0,0,0.0,1,1.0,0
CUST00010,New Customers,5.0,1.0,1.0,7.0,9,1,636.8,636.8,0.0,0,0.0,1,1.0,0
CUST00011,New Customers,5.0,1.0,2.0,8.0,1,2,925.0699999999999,462.53499999999997,0.0,0,0.0,1,1.0,0
CUST00012,Dormant,3.0,1.0,3.0,7.0,50,2,2051.63,1025.815,1.0,0,0.0,1,1.0,1
CUST00013,Dormant,3.0,1.0,3.0,7.0,61,3,1754.44,584.8133333333334,1.0,0,0.0,1,1.0,0
CUST00014,Loyal Customers,3.0,4.0,5.0,12.0,51,11,8130.16,739.1054545454546,2.0,0,0.0,1,1.0,0
CUST00015,Dormant,4.0,1.0,5.0,10.0,35,4,4200.93,1050.2325,0.0,0,0.0,1,1.0,0
CUST00016,Dormant,1.0,1.0,1.0,3.0,215,1,478.02,478.02,1.0,0,0.0,1,1.0,1
CUST00017,At-Risk High Value,1.0,1.0,3.0,5.0,286,3,1699.1399999999999,566.38,0.0,0,0.0,1,1.0,1
CUST00018,Dormant,2.0,1.0,1.0,4.0,111,1,329.21,329.21,0.0,0,0.0,1,1.0,1
CUST00019,New Customers,5.0,1.0,3.0,9.0,9,2,1598.93,799.465,0.0,0,0.0,1,0.5,0
CUST00020,At-Risk High Value,1.0,1.0,5.0,7.0,368,3,4487.950000000001,1495.9833333333336,1.0,0,0.0,1,1.0,1
CUST00021,Dormant,3.0,1.0,2.0,6.0,77,2,1059.3,529.65,1.0,0,0.0,1,1.0,1
CUST00022,New Customers,4.0,1.0,1.0,6.0,29,1,454.06,454.06,0.0,0,0.0,1,1.0,0
CUST00023,New Customers,4.0,1.0,1.0,6.0,21,1,400.98,400.98,0.0,0,0.0,1,1.0,0
CUST00024,New Customers,5.0,1.0,1.0,7.0,4,1,481.35,481.35,0.0,0,0.0,1,1.0,0
CUST00025,High Value Unhappy,1.0,2.0,5.0,8.0,165,7,4868.86,695.5514285714286,3.0,0,0.0,1,1.0,1
CUST00026,High Value Unhappy,3.0,1.0,4.0,8.0,72,3,3561.3900000000003,1187.13,1.0,0,0.3333333333333333,1,1.0,0
CUST00027,Dormant,3.0,1.0,3.0,7.0,70,1,2128.34,2128.34,1.0,0,1.0,1,1.0,0
CUST00028,Dormant,3.0,1.0,2.0,6.0,83,2,1489.7800000000002,744.8900000000001,1.0,0,0.0,1,1.0,0
CUST00029,Promising,5.0,3.0,5.0,13.0,18,8,5252.9,656.6125,0.0,0,0.0,1,1.0,0
CUST00030,High Value Unhappy,5.0,2.0,4.0,11.0,5,6,3435.5899999999997,572.5983333333332,2.0,0,0.0,1,1.0,0
CUST00031,Dormant,3.0,1.0,1.0,5.0,49,1,672.95,672.95,0.0,0,0.0,1,1.0,1
CUST00032,Dormant,4.0,1.0,3.0,8.0,33,3,1948.75,649.5833333333334,0.0,0,0.0,1,1.0,0
CUST00033,Dormant,5.0,1.0,3.0,9.0,12,4,2128.09,532.0225,2.0,0,0.5,1,1.0,0
CUST00034,High Value Unhappy,3.0,2.0,4.0,9.0,50,6,3353.01,558.835,3.0,0,0.0,1,1.0,0
CUST00035,Dormant,2.0,1.0,2.0,5.0,127,3,1369.71,456.57,0.0,0,0.0,1,1.0,1
CUST00036,Dormant,4.0,1.0,3.0,8.0,27,4,1737.33,434.3325,1.0,0,0.25,1,1.0,1
CUST00037,Dormant,2.0,1.0,1.0,4.0,102,1,435.83,435.83,0.0,0,0.0,1,1.0,0
CUST00038,Dormant,3.0,1.0,3.0,7.0,51,4,2104.61,526.1525,1.0,0,0.0,1,1.0,0
CUST00039,Dormant,5.0,1.0,3.0,9.0,15,3,1598.49,532.83,0.0,0,0.0,1,1.0,0
CUST00040,Dormant,1.0,1.0,1.0,3.0,154,1,634.73,634.73,1.0,0,0.0,1,1.0,1
CUST00041,Dormant,3.0,1.0,3.0,7.0,54,4,1911.8600000000001,477.96500000000003,1.0,0,0.0,1,1.0,1
CUST00042,High Value Unhappy,2.0,3.0,5.0,10.0,87,9,7523.74,835.9711111111111,6.0,0,0.2222222222222222,1,1.0,0
CUST00043,New Customers,4.0,1.0,1.0,6.0,24,1,363.01,363.01,0.0,0,0.0,1,1.0,0
CUST00044,Dormant,3.0,1.0,4.0,8.0,72,3,2724.09,908.0300000000001,1.0,0,0.0,1,1.0,0
CUST00045,Dormant,2.0,1.0,1.0,4.0,96,1,413.75,413.75,0.0,0,0.0,1,1.0,1
CUST00046,Dormant,2.0,1.0,1.0,4.0,127,1,489.87,489.87,0.0,0,0.0,1,1.0,1
CUST00047,Dormant,1.0,1.0,1.0,3.0,204,1,764.43,764.43,0.0,0,0.0,1,1.0,1
CUST00048,Dormant,3.0,1.0,3.0,7.0,61,4,2450.45,612.6125,1.0,0,0.25,1,1.0,0
CUST00049,New Customers,5.0,1.0,1.0,7.0,8,1,380.83,380.83,0.0,0,0.0,1,1.0,0
CUST00050,Dormant,5.0,1.0,3.0,9.0,0,3,2466.39,822.13,1.0,0,0.3333333333333333,1,1.0,0
CUST00051,High Value Unhappy,1.0,1.0,5.0,7.0,210,4,4444.3,1111.075,2.0,0,0.0,1,1.0,1
CUST00052,High Value Unhappy,3.0,1.0,4.0,8.0,55,3,2807.14,935.7133333333333,1.0,0,0.3333333333333333,1,1.0,1
CUST00053,High Value Unhappy,4.0,1.0,5.0,10.0,25,4,4192.59,1048.1475,2.0,0,0.0,1,1.0,0
CUST00054,New Customers,5.0,1.0,1.0,7.0,6,1,489.85,489.85,0.0,0,0.0,1,1.0,0
CUST00055,Dormant,5.0,1.0,2.0,8.0,3,3,1308.35,436.1166666666666,1.0,0,0.0,1,1.0,0
CUST00056,Dormant,5.0,1.0,4.0,10.0,9,4,3530.41,882.6025,1.0,0,0.0,1,1.0,0
CUST00057,At-Risk High Value,2.0,1.0,3.0,6.0,136,2,2510.83,1255.415,0.0,0,0.0,1,1.0,1
CUST00058,Dormant,4.0,1.0,3.0,8.0,42,4,2451.54,612.885,0.0,0,0.0,1,1.0,0
CUST00059,Dormant,5.0,1.0,4.0,10.0,2,3,2852.63,950.8766666666667,0.0,0,0.0,1,1.0,0
CUST00060,Dormant,2.0,1.0,1.0,4.0,145,1,293.22,293.22,0.0,0,0.0,1,1.0,1
CUST00061,Dormant,5.0,1.0,3.0,9.0,14,4,1966.0900000000001,491.52250000000004,1.0,0,0.0,1,1.0,0
CUST00062,Dormant,4.0,1.0,4.0,9.0,21,4,2805.19,701.2975,1.0,0,0.0,1,1.0,0
CUST00063,Dormant,1.0,1.0,1.0,3.0,216,1,397.69,397.69,1.0,0,0.0,1,1.0,1
CUST00064,New Customers,5.0,1.0,1.0,7.0,2,1,654.93,654.93,0.0,0,0.0,1,1.0,0
CUST00065,New Customers,5.0,1.0,3.0,9.0,6,1,1911.67,1911.67,0.0,0,0.0,1,0.0,0
CUST00066,At-Risk High Value,1.0,2.0,5.0,8.0,320,5,4598.95,919.79,1.0,0,0.0,1,1.0,1
CUST00067,Dormant,3.0,1.0,2.0,6.0,63,2,1246.44,623.22,1.0,0,0.5,1,1.0,1
CUST00068,At-Risk High Value,1.0,1.0,3.0,5.0,346,3,2123.66,707.8866666666667,1.0,0,0.3333333333333333,1,1.0,1
CUST00069,New Customers,4.0,1.0,2.0,7.0,29,2,874.47,437.235,0.0,0,0.0,1,1.0,1
